Post Date;Value Date;Branch;Journal No.;Description;Debit;Credit
01/06/18 06.30.00;01/06/18 06.30.00;767;13044;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301523 JATIASIH 1;0;173,000.00
01/06/18 06.30.00;01/06/18 06.30.00;767;13083;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301511 GEDONG 2;0;733,500.00
01/06/18 06.30.00;01/06/18 06.30.00;767;13174;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301524 CIKUNIR 2;0;2,403,000.00
01/06/18 06.30.00;01/06/18 06.30.00;767;13188;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301512 GEDONG 1;0;391,000.00
01/06/18 06.30.01;01/06/18 06.30.01;767;13256;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301525 CIKUNIR 4;0;1,750,000.00
01/06/18 06.30.01;01/06/18 06.30.01;767;13261;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301513 KP RAMBUTAN;0;560,500.00
01/06/18 06.30.01;01/06/18 06.30.01;767;13309;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301526 KALIMALANG 2;0;57,000.00
01/06/18 06.30.01;01/06/18 06.30.01;767;13315;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301514 PS REBO;0;1,449,500.00
01/06/18 06.30.02;01/06/18 06.30.02;767;13419;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 1 000301527 KALIMALANG 1;0;47,500.00
01/06/18 06.30.02;01/06/18 06.30.02;767;13429;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301515 DUKUH 1;0;2,244,500.00
01/06/18 06.30.03;01/06/18 06.30.03;767;13518;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301516 DUKUH 3;0;2,560,000.00
01/06/18 06.30.04;01/06/18 06.30.04;767;13733;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301517 BMB APUS 2;0;239,500.00
01/06/18 06.30.05;01/06/18 06.30.05;767;13891;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301518 BMB APUS 1;0;640,500.00
01/06/18 06.30.06;01/06/18 06.30.06;767;14028;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301519 SETU;0;180,500.00
01/06/18 06.30.08;01/06/18 06.30.08;767;14414;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301520 JATIWARNA 2;0;695,500.00
01/06/18 06.30.08;01/06/18 06.30.08;767;14509;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301521 JATIWARNA 1;0;135,000.00
01/06/18 06.30.09;01/06/18 06.30.09;767;14545;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301534 LT AGUNG 3;0;598,500.00
01/06/18 06.30.09;01/06/18 06.30.09;767;14555;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301522 JATIASIH 2;0;676,500.00
01/06/18 06.30.09;01/06/18 06.30.09;767;14562;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 2 000301510 LT AGUNG 1;0;1,396,500.00
01/06/18 15.03.56;01/06/18 15.03.56;767;423901;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301523 JATIASIH 1;0;28,500.00
01/06/18 15.03.57;01/06/18 15.03.57;767;424064;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301512 GEDONG 1;0;123,500.00
01/06/18 15.03.57;01/06/18 15.03.57;767;424133;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301525 CIKUNIR 4;0;350,000.00
01/06/18 15.03.58;01/06/18 15.03.58;767;424197;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301514 PS REBO;0;520,000.00
01/06/18 15.03.58;01/06/18 15.03.58;767;424334;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301516 DUKUH 3;0;1,104,000.00
01/06/18 15.03.59;01/06/18 15.03.59;767;424359;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301521 JATIWARNA 1;0;38,000.00
01/06/18 15.03.59;01/06/18 15.03.59;767;424395;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301534 LT AGUNG 3;0;40,000.00
01/06/18 15.03.59;01/06/18 15.03.59;767;424405;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301510 LT AGUNG 1;0;372,500.00
01/06/18 15.03.59;01/06/18 15.03.59;767;424449;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301518 BMB APUS 1;0;152,000.00
01/06/18 15.03.59;01/06/18 15.03.59;767;424510;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301523 JATIASIH 1;0;133,000.00
01/06/18 15.04.00;01/06/18 15.04.00;767;424589;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301512 GEDONG 1;0;237,500.00
01/06/18 15.04.00;01/06/18 15.04.00;767;424653;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301525 CIKUNIR 4;0;56,000.00
01/06/18 15.04.00;01/06/18 15.04.00;767;424730;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301514 PS REBO;0;593,500.00
01/06/18 15.04.01;01/06/18 15.04.01;767;424833;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301516 DUKUH 3;0;464,000.00
01/06/18 15.04.01;01/06/18 15.04.01;767;424911;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301520 JATIWARNA 2;0;161,500.00
01/06/18 15.04.01;01/06/18 15.04.01;767;424973;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301518 BMB APUS 1;0;123,500.00
01/06/18 15.04.01;01/06/18 15.04.01;767;425072;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301522 JATIASIH 2;0;220,500.00
01/06/18 15.04.02;01/06/18 15.04.02;767;425152;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301511 GEDONG 2;0;76,000.00
01/06/18 15.04.02;01/06/18 15.04.02;767;425201;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301524 CIKUNIR 2;0;408,000.00
01/06/18 15.04.02;01/06/18 15.04.02;767;425253;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301513 KP RAMBUTAN;0;104,500.00
01/06/18 15.04.03;01/06/18 15.04.03;767;425336;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301515 DUKUH 1;0;693,000.00
01/06/18 15.04.03;01/06/18 15.04.03;767;425351;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301520 JATIWARNA 2;0;256,500.00
01/06/18 15.04.03;01/06/18 15.04.03;767;425458;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301517 BMB APUS 2;0;85,500.00
01/06/18 15.04.03;01/06/18 15.04.03;767;425462;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301522 JATIASIH 2;0;346,000.00
01/06/18 15.04.03;01/06/18 15.04.03;767;425541;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301511 GEDONG 2;0;190,000.00
01/06/18 15.04.04;01/06/18 15.04.04;767;425597;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301519 SETU;0;19,000.00
01/06/18 15.04.04;01/06/18 15.04.04;767;425612;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301524 CIKUNIR 2;0;643,000.00
01/06/18 15.04.04;01/06/18 15.04.04;767;425679;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301513 KP RAMBUTAN;0;9,500.00
01/06/18 15.04.04;01/06/18 15.04.04;767;425779;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301515 DUKUH 1;0;181,000.00
01/06/18 15.04.05;01/06/18 15.04.05;767;425894;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301517 BMB APUS 2;0;47,500.00
01/06/18 15.04.05;01/06/18 15.04.05;767;425960;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301521 JATIWARNA 1;0;104,500.00
01/06/18 15.04.05;01/06/18 15.04.05;767;426001;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301519 SETU;0;38,000.00
01/06/18 15.04.05;01/06/18 15.04.05;767;426005;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301534 LT AGUNG 3;0;28,500.00
01/06/18 15.04.05;01/06/18 15.04.05;767;426016;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 31052018 3 000301510 LT AGUNG 1;0;541,500.00
01/06/18 18.07.58;01/06/18 18.07.58;767;42202;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301520 JATIWARNA 2;0;1,121,000.00
01/06/18 18.07.58;01/06/18 18.07.58;767;42281;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301521 JATIWARNA 1;0;315,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42329;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301534 LT AGUNG 3;0;123,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42333;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301522 JATIASIH 2;0;1,028,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42336;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301510 LT AGUNG 1;0;1,197,000.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42392;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301523 JATIASIH 1;0;370,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42394;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301511 GEDONG 2;0;703,000.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42459;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301524 CIKUNIR 2;0;1,819,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42463;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301512 GEDONG 1;0;389,500.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42500;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301525 CIKUNIR 4;0;1,036,000.00
01/06/18 18.07.59;01/06/18 18.07.59;767;42503;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301513 KP RAMBUTAN;0;325,000.00
01/06/18 18.08.00;01/06/18 18.08.00;767;42525;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301514 PS REBO;0;1,782,500.00
01/06/18 18.08.00;01/06/18 18.08.00;767;42562;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301515 DUKUH 1;0;1,717,000.00
01/06/18 18.08.00;01/06/18 18.08.00;767;42602;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301516 DUKUH 3;0;1,392,000.00
01/06/18 18.08.00;01/06/18 18.08.00;767;42645;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301517 BMB APUS 2;0;351,500.00
01/06/18 18.08.01;01/06/18 18.08.01;767;42710;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301518 BMB APUS 1;0;399,000.00
01/06/18 18.08.01;01/06/18 18.08.01;767;42792;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 1 000301519 SETU;0;218,500.00
02/06/18 03.59.58;02/06/18 03.59.58;767;325377;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 2 000301510 LT AGUNG 1;0;1,358,500.00
02/06/18 03.59.59;02/06/18 03.59.59;767;325409;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 2 000301511 GEDONG 2;0;370,500.00
02/06/18 05.59.57;02/06/18 05.59.57;767;783679;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301524 CIKUNIR 2;0;2,548,500.00
02/06/18 05.59.57;02/06/18 05.59.57;767;783700;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301512 GEDONG 1;0;598,500.00
02/06/18 05.59.58;02/06/18 05.59.58;767;783779;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301525 CIKUNIR 4;0;1,460,000.00
02/06/18 05.59.59;02/06/18 05.59.59;767;783782;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301513 KP RAMBUTAN;0;496,000.00
02/06/18 05.59.59;02/06/18 05.59.59;767;783821;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301514 PS REBO;0;2,690,000.00
